data,uf,regiao,governo,preco_medio_imovel,tx_ocupacao_%,inadimplencia_aluguel_%,vendas_totais_10k_hab,perc_vista_%,perc_financiamento_%,perc_mcmv_%,perc_imovel_usado_%,perc_terreno_zero_%,qualidade_vida_score,abandono_violencia_por_10k,abandono_desastre_por_10k,abandono_vontade_por_10k,aumento_moradores_por_10k,invasao_terrenos_por_10k,pessoas_alugam_proprio_10k,pessoas_vendem_proprio_10k,indice_aluguel_yoy_%
2015-01,CE,Nordeste,Dilma,337300.0,91.4,5.7,24.8,22.5,39.5,13.8,77.6,11.4,6.36,31.4,0.0,30.0,0.0,8.6,1.5,1.0,3.7
2015-01,RJ,Sudeste,Dilma,440600.0,90.3,8.8,23.4,21.2,40.8,5.9,77.5,7.9,5.85,141.2,0.0,30.0,0.0,31.3,1.2,0.9,5.3
2015-01,SP,Sudeste,Dilma,501800.0,90.6,6.4,25.2,23.0,39.0,5.2,76.8,7.4,6.89,72.0,0.0,30.0,0.0,10.1,1.2,1.0,5.1
2015-01,BA,Nordeste,Dilma,283300.0,89.9,6.4,22.1,22.1,39.9,10.8,76.3,7.1,5.94,57.9,0.0,30.0,0.0,17.7,1.3,1.0,5.7
2015-01,MG,Sudeste,Dilma,364500.0,91.2,6.4,24.2,22.0,40.0,7.9,74.9,7.4,6.69,51.7,0.0,30.0,0.0,8.4,1.3,1.0,4.5
2015-01,RS,Sul,Dilma,405300.0,91.0,7.1,24.9,17.8,44.2,7.7,76.1,7.9,6.88,51.0,0.0,30.0,0.0,4.1,1.2,1.1,4.6
2015-01,SC,Sul,Dilma,412800.0,91.6,6.3,23.4,21.9,40.1,7.4,76.1,11.5,7.17,34.6,0.0,30.0,0.0,2.7,1.1,1.0,5.2
2015-01,AM,Norte,Dilma,352800.0,90.0,6.4,22.5,22.3,39.7,8.4,75.8,8.2,6.22,80.4,0.0,30.0,0.0,15.3,1.2,0.8,5.0
2015-01,DF,Centro-Oeste,Dilma,471000.0,90.8,7.5,23.4,22.9,39.1,7.1,77.1,8.4,7.21,56.6,0.0,30.0,0.0,8.2,1.1,1.0,6.5
2015-01,GO,Centro-Oeste,Dilma,315300.0,91.1,6.3,22.4,19.9,42.1,9.1,74.9,11.2,6.44,37.9,0.0,30.0,0.0,8.6,1.2,1.0,4.1
2015-02,CE,Nordeste,Dilma,335000.0,89.8,6.3,23.2,23.5,38.5,14.6,74.8,10.3,6.42,39.5,0.0,30.1,0.0,8.4,1.6,0.9,5.2
2015-02,RJ,Sudeste,Dilma,463800.0,92.3,8.7,23.6,20.6,41.4,7.5,75.0,8.4,5.97,150.7,0.0,30.1,0.0,32.1,1.2,1.0,6.3
2015-02,SP,Sudeste,Dilma,506300.0,90.3,6.2,22.0,22.8,39.2,6.3,76.3,8.4,6.98,70.8,0.0,30.1,0.0,13.6,1.5,1.0,4.4
2015-02,BA,Nordeste,Dilma,276500.0,90.8,6.7,23.8,23.9,38.1,9.9,75.2,7.2,6.01,52.0,0.0,30.1,0.0,19.1,1.1,1.0,5.3
2015-02,MG,Sudeste,Dilma,364000.0,91.0,6.6,21.6,23.7,38.3,8.4,77.1,8.5,6.74,34.4,0.0,30.1,0.0,6.2,1.3,1.0,7.7
2015-02,RS,Sul,Dilma,407400.0,91.6,7.0,23.8,22.4,39.6,7.6,75.2,7.9,7.08,46.6,0.0,30.1,0.0,6.2,1.0,1.0,3.9
