data,ano,mes,trimestre,semestre,uf,regiao,governo,preco_medio_imovel,variacao_preco_anual,tx_ocupacao_%,inadimplencia_aluguel_%,vendas_totais_10k_hab,rotacao_imoveis,perc_vista_%,perc_financiamento_%,perc_mcmv_%,perc_imovel_usado_%,perc_terreno_zero_%,indice_aluguel_yoy_%,qualidade_vida_score,indice_crise,saude_mercado,abandono_violencia_por_10k,abandono_desastre_por_10k,abandono_vontade_por_10k,abandono_total_por_10k,aumento_moradores_por_10k,invasao_terrenos_por_10k,pessoas_alugam_proprio_10k,pessoas_vendem_proprio_10k
2015-01-01,2015,1,1,1,AM,Norte,Dilma,352800.0,,90.0,6.4,22.5,23.7,22.3,39.7,8.4,75.8,8.2,5.0,6.22,0.178,0.0,80.4,0.0,30.0,110.4,0.0,15.3,1.2,0.8
2015-02-01,2015,2,1,1,AM,Norte,Dilma,346800.0,,90.4,6.9,22.8,24.0,24.0,38.0,9.7,74.8,7.8,5.6,6.34,0.186,0.0,61.9,0.0,30.1,92.0,0.0,14.5,1.2,0.8
2015-03-01,2015,3,1,1,AM,Norte,Dilma,371900.0,,90.4,6.2,22.3,23.400000000000002,18.8,43.2,8.6,75.2,8.1,5.3,6.27,0.172,0.0,68.7,0.0,30.1,98.80000000000001,0.0,17.2,1.1,0.9
2015-04-01,2015,4,2,1,AM,Norte,Dilma,353400.0,,89.8,6.9,23.6,24.700000000000003,21.7,40.3,9.5,75.2,7.1,3.8,6.21,0.189,0.0,53.3,0.0,30.1,83.4,0.0,15.4,1.1,1.0
2015-05-01,2015,5,2,1,AM,Norte,Dilma,354200.0,,90.5,6.5,22.3,23.6,22.9,39.1,8.6,75.3,8.1,3.5,5.98,0.1775,0.0,64.6,0.0,30.1,94.69999999999999,0.0,17.0,1.3,1.0
2015-06-01,2015,6,2,1,AM,Norte,Dilma,352600.0,,91.6,6.6,22.3,23.400000000000002,23.2,38.8,8.6,75.6,7.8,4.7,6.29,0.17400000000000004,0.0,68.7,0.0,30.1,98.80000000000001,0.0,15.1,1.1,0.9
2015-07-01,2015,7,3,2,AM,Norte,Dilma,354400.0,,90.0,6.4,24.0,25.2,24.3,37.7,8.9,77.8,7.5,5.2,6.18,0.178,0.0,55.1,0.0,30.2,85.3,0.0,15.0,1.2,0.9
2015-08-01,2015,8,3,2,AM,Norte,Dilma,365400.0,,90.6,7.0,22.5,23.7,22.4,39.6,10.7,76.4,8.2,5.0,6.17,0.18700000000000006,0.0,75.8,0.0,30.2,106.0,0.0,16.0,1.2,0.9
2015-09-01,2015,9,3,2,AM,Norte,Dilma,344800.0,,90.0,7.5,23.3,24.7,24.3,37.7,9.3,75.8,7.9,4.0,6.26,0.19999999999999998,0.0,68.3,0.0,30.2,98.5,0.0,15.8,1.4,0.9
2015-10-01,2015,10,4,2,AM,Norte,Dilma,339000.0,,90.8,6.7,23.6,24.700000000000003,23.2,38.8,8.2,77.2,7.9,6.2,6.15,0.18000000000000005,0.0,68.0,0.0,30.2,98.2,0.0,15.1,1.1,0.9
2015-11-01,2015,11,4,2,AM,Norte,Dilma,361000.0,,91.4,6.9,22.3,23.6,21.4,40.6,9.0,75.8,7.8,4.9,6.19,0.181,0.0,74.1,0.0,30.3,104.39999999999999,0.0,17.1,1.3,0.9
2015-12-01,2015,12,4,2,AM,Norte,Dilma,370000.0,,90.8,6.3,24.6,26.1,22.8,39.2,9.4,74.9,8.2,5.2,6.27,0.17200000000000004,0.0,67.4,0.0,30.3,97.7,0.0,17.2,1.5,1.0
2016-01-01,2016,1,1,1,AM,Norte,Dilma,348000.0,-1.3605442176870763,89.8,6.4,22.8,24.1,20.0,42.0,9.6,76.1,7.3,5.1,6.2,0.179,0.0,66.8,0.0,30.3,97.1,0.0,15.5,1.3,0.8
2016-02-01,2016,2,1,1,AM,Norte,Dilma,350300.0,1.0092272202998798,89.4,6.5,23.8,25.2,20.9,41.1,9.2,78.1,7.5,5.3,6.26,0.183,0.0,49.3,0.0,30.4,79.69999999999999,0.0,16.1,1.4,0.9
2016-03-01,2016,3,1,1,AM,Norte,Dilma,354000.0,-4.813121806937348,91.3,6.8,22.7,24.0,23.8,38.2,8.9,76.3,7.7,5.9,6.29,0.17950000000000005,0.0,50.4,0.0,30.4,80.8,0.0,16.4,1.3,1.0
2016-04-01,2016,4,2,1,AM,Norte,Dilma,346000.0,-2.093944538766268,92.0,7.0,22.7,23.9,24.4,37.6,8.0,75.0,8.2,5.4,6.15,0.18,0.0,82.1,0.0,30.4,112.5,0.0,17.0,1.2,0.8
2016-05-01,2016,5,2,1,AM,Norte,Dilma,351600.0,-0.734048560135514,91.2,6.5,23.4,24.599999999999998,24.0,38.0,8.6,73.8,8.5,5.4,6.23,0.174,0.0,66.7,0.0,30.4,97.1,0.0,15.8,1.2,1.0
2016-06-01,2016,6,2,1,AM,Norte,Dilma,339700.0,-3.658536585365857,90.3,7.1,24.9,25.9,27.0,35.0,8.4,75.5,8.4,4.5,6.17,0.19049999999999997,0.0,67.8,0.0,30.4,98.19999999999999,0.0,16.8,1.0,0.9
2016-07-01,2016,7,3,2,AM,Norte,Dilma,355400.0,0.2821670428893919,91.2,7.4,23.8,25.0,23.2,38.8,10.1,76.4,7.6,5.3,6.13,0.192,0.0,82.4,0.0,30.5,112.9,0.0,17.6,1.2,1.0
2016-08-01,2016,8,3,2,AM,Norte,Dilma,341400.0,-6.568144499178985,91.1,7.1,21.9,23.099999999999998,24.8,37.2,8.5,76.3,8.4,4.5,6.13,0.18650000000000003,0.0,71.2,0.0,30.5,101.7,0.0,17.5,1.2,0.9
2016-09-01,2016,9,3,2,AM,Norte,Temer,348700.0,1.1310904872389838,90.6,7.0,22.4,23.7,21.9,40.1,9.3,74.5,8.4,5.3,6.14,0.18700000000000006,0.0,68.5,0.0,30.5,99.0,0.0,16.0,1.3,0.9
2016-10-01,2016,10,4,2,AM,Norte,Temer,342700.0,1.09144542772861,91.1,6.8,23.0,24.3,21.8,40.2,9.2,76.7,7.0,4.5,6.21,0.18050000000000005,0.0,81.4,0.0,30.5,111.9,0.0,16.9,1.3,0.8
2016-11-01,2016,11,4,2,AM,Norte,Temer,359600.0,-0.38781163434903343,91.3,7.1,23.5,24.9,20.8,41.2,8.7,75.2,8.7,5.5,6.24,0.18550000000000003,0.0,62.9,0.0,30.6,93.5,0.0,18.2,1.4,0.9
2016-12-01,2016,12,4,2,AM,Norte,Temer,360800.0,-2.4864864864864833,90.7,7.8,21.8,23.1,19.9,42.1,9.2,77.1,8.2,3.9,6.08,0.20249999999999999,0.0,72.8,0.0,30.6,103.4,0.0,16.8,1.3,1.0
2017-01-01,2017,1,1,1,AM,Norte,Temer,351100.0,0.8908045977011447,91.8,6.4,25.1,26.3,23.3,38.7,9.8,76.2,7.3,4.9,6.13,0.16900000000000004,0.0,69.8,0.0,30.6,100.4,0.0,17.6,1.2,0.9
2017-02-01,2017,2,1,1,AM,Norte,Temer,353800.0,0.9991435912075408,90.0,6.8,22.0,23.2,27.1,34.9,9.0,76.8,7.6,5.1,6.06,0.186,0.0,67.2,0.0,30.6,97.80000000000001,0.0,18.7,1.2,1.0
2017-03-01,2017,3,1,1,AM,Norte,Temer,347500.0,-1.836158192090398,90.0,6.4,23.4,24.5,23.6,38.4,9.1,75.0,7.9,5.2,6.28,0.178,0.0,56.4,0.0,30.7,87.1,0.0,17.9,1.1,0.9
2017-04-01,2017,4,2,1,AM,Norte,Temer,337300.0,-2.5144508670520205,90.7,6.9,23.0,24.3,19.3,42.7,8.3,75.9,8.3,5.4,6.17,0.1845,0.0,56.5,0.0,30.7,87.2,0.0,17.6,1.3,1.0
2017-05-01,2017,5,2,1,AM,Norte,Temer,346100.0,-1.5642775881683724,92.0,6.9,21.1,22.400000000000002,19.3,42.7,9.6,75.3,7.8,4.0,6.29,0.178,0.0,68.2,0.0,30.7,98.9,0.0,17.6,1.3,1.0
2017-06-01,2017,6,2,1,AM,Norte,Temer,344900.0,1.5307624374448103,90.5,7.0,23.4,24.5,22.5,39.5,7.5,75.6,8.4,4.9,6.23,0.1875,0.0,72.4,0.0,30.7,103.10000000000001,0.0,17.8,1.1,0.8
2017-07-01,2017,7,3,2,AM,Norte,Temer,341800.0,-3.826674169949351,90.2,6.7,21.2,22.4,21.1,40.9,9.6,74.7,7.2,3.8,6.14,0.183,0.0,70.0,0.0,30.8,100.8,0.0,18.8,1.2,1.0
2017-08-01,2017,8,3,2,AM,Norte,Temer,347400.0,1.7574692442882345,89.5,7.2,23.1,24.400000000000002,24.1,37.9,9.5,74.1,7.6,4.7,6.19,0.1965,0.0,68.4,0.0,30.8,99.2,0.0,18.3,1.3,0.9
2017-09-01,2017,9,3,2,AM,Norte,Temer,345400.0,-0.9463722397476393,90.6,7.4,21.6,22.700000000000003,23.0,39.0,9.6,75.8,8.6,5.1,6.11,0.19500000000000006,0.0,83.9,0.0,30.8,114.7,0.0,19.2,1.1,0.9
2017-10-01,2017,10,4,2,AM,Norte,Temer,356600.0,4.056025678435948,91.1,7.1,23.4,24.599999999999998,23.1,38.9,8.8,75.9,6.4,5.0,6.27,0.18650000000000003,0.0,77.7,0.0,30.8,108.5,0.0,17.9,1.2,0.9
2017-11-01,2017,11,4,2,AM,Norte,Temer,351300.0,-2.3081201334816503,90.1,7.0,21.8,22.900000000000002,21.6,40.4,7.9,75.9,7.2,6.0,6.15,0.18950000000000006,0.0,77.9,0.0,30.9,108.80000000000001,0.0,18.5,1.1,1.2
2017-12-01,2017,12,4,2,AM,Norte,Temer,357200.0,-0.9977827050997812,90.1,6.8,22.2,23.4,19.4,42.6,8.7,76.7,7.4,5.5,6.08,0.18550000000000005,0.0,85.1,0.0,30.9,116.0,0.0,19.1,1.2,1.1
2018-01-01,2018,1,1,1,AM,Norte,Temer,344000.0,-2.022215892908008,90.0,6.9,23.4,24.599999999999998,25.1,36.9,8.7,76.9,8.1,4.4,6.2,0.188,0.0,76.0,0.0,30.9,106.9,0.0,18.5,1.2,1.1
2018-02-01,2018,2,1,1,AM,Norte,Temer,343200.0,-2.996042962125489,89.9,7.2,23.5,24.8,25.1,36.9,9.5,77.6,8.2,5.3,6.09,0.1945,0.0,67.6,0.0,31.0,98.6,0.0,20.2,1.3,1.1
2018-03-01,2018,3,1,1,AM,Norte,Temer,344900.0,-0.7482014388489167,90.4,6.7,21.3,22.3,24.9,37.1,8.9,75.8,8.3,4.6,6.07,0.182,0.0,85.4,0.0,31.0,116.4,0.0,18.9,1.0,0.9
2018-04-01,2018,4,2,1,AM,Norte,Temer,349500.0,3.6169581974503373,89.6,7.5,22.7,23.8,21.8,40.2,9.6,76.0,8.3,4.6,6.15,0.20200000000000004,0.0,86.7,0.0,31.0,117.7,0.0,19.7,1.1,0.9
2018-05-01,2018,5,2,1,AM,Norte,Temer,348800.0,0.7801213522103501,90.3,7.4,22.5,23.9,23.1,38.9,8.5,75.7,7.0,4.3,6.07,0.1965,0.0,86.1,0.0,31.0,117.1,0.0,19.4,1.4,1.0
2018-06-01,2018,6,2,1,AM,Norte,Temer,338900.0,-1.7396346767178938,90.6,7.0,21.3,22.400000000000002,20.0,42.0,7.3,76.7,7.7,4.7,6.05,0.18700000000000006,0.0,102.1,0.0,31.0,133.1,0.0,18.2,1.1,1.0
2018-07-01,2018,7,3,2,AM,Norte,Temer,351700.0,2.8964306612053736,89.6,7.4,24.7,25.9,27.0,35.0,9.3,77.6,7.7,5.2,6.16,0.20000000000000007,0.0,72.6,0.0,31.1,103.69999999999999,0.0,19.3,1.2,1.0
2018-08-01,2018,8,3,2,AM,Norte,Temer,354300.0,1.986183074265968,90.2,7.1,22.9,24.0,21.5,40.5,9.2,77.5,7.6,4.6,6.05,0.19099999999999998,0.0,88.7,0.0,31.1,119.80000000000001,0.0,20.9,1.1,1.0
2018-09-01,2018,9,3,2,AM,Norte,Temer,340700.0,-1.3607411696583638,91.2,7.1,23.6,24.8,22.7,39.3,9.2,75.4,8.1,5.5,6.19,0.18599999999999997,0.0,80.2,0.0,31.1,111.30000000000001,0.0,20.5,1.2,0.9
